index,type,sub_type,title,label
0,20,,Struck by Falling Curtain Wall Panel,
1,20,,Struck by Falling Metal Pipes,
2,3,,Trapped by Moving Parts of Escalator,
3,4,,Trapped between Elevating Work Platform and Ceiling,
4,7,,Trapped by Material Hoist,
8,3,,Fall from Unprotected Edge of Belt Loader,
11,3,,Pressed to Death by Falling Equipment,
12,3,,Trapped between Excavator and Dump Truck,
15,20,,Struck to Death by Falling Metal Pipes,
16,20,,Struck to Death by Falling Metal I-beams,
17,4,,Trapped in Elevating Work Platform,
18,20,,Struck to Death by Falling Metal Boards,
19,3,,Fallen from Tail Lift of a Truck,
22,20,,Struck to Death by a Bundle of Timbers,
25,3,,Knocked Down by Reversing Truck,
26,20,,Struck by a Metal Block,
27,3,,Trapped by Collapsed Lower Deck Loader,
28,3,,Trapped between a Refuse Container Tractor and a Refuse Tipper,
31,3,,Fallen from Tail Lift of a Truck,
32,3,,Trapped between Two Excavators,
33,20,,Tripped Over and Slammed into a Wall,
34,20,,Struck by Falling Metal Fin,
35,20,,Pressed by Demolition Debris,
37,3,,Fallen from a Cable Tray,
38,20,,Struck to Death by an Overturned Precast Concrete Wall Panel,
40,3,,Knocked Down by Vehicle,
42,3,,Pressed to Death by Collapsed Wall,
44,4,,Fallen with a Toppled Mobile Elevating Work Platform,
47,3,,Trapped to Death between a Forklift Truck and an Power-operated Elevating Work Platform,
50,3,,Run Over to Death by a Rubber Tyred Gantry Crane,
56,3,,Fallen From a Truck,
57,3,,Trapped by the Mixer Arm of a Mixing Machine,
58,20,,Struck to Death by a Burst Fender Panel,
59,20,,Struck to Death by a Collapsed Metal I-beam,
63,4,,Collapse of Reinforcement Bar Structure,
64,4,,Fallen from a Mobile Platform Ladder,
66,3,,Collapse of a Tower Crane,
67,3,,Pressed to Death by a Toppled Sliding Gate,
71,7,,Trapped by Revolving Cutters of a Bale Breaker,
72,3,,Pressed to Death by a Toppled Metal Lift Shaft Working Platform,
73,3,,Crushed by the Robotic Arm of a Palletizer,
77,3,,Trapped and Entangled by the Revolving Spiral Conveyor of a Plastic Crushing Machine,
79,3,,Trapped between a Crane Boom under Repair and a Foundation Plant,
80,4,,Fallen from a Mobile Elevating Work Platform,
82,20,,Struck to Death by Falling Objects,
87,3,,Knocked Down by a Tow Truck,
88,4,,Pressed to Death by an Elevating Work Platform,
90,3,,Struck by Wire Rope of a Crawler Crane under Repair,
92,3,,Trapped to Death by a Lorry,
94,4,,Fallen with the Working Platform of a Collapsed Truck-mounted Elevating Work Platform,
97,20,,Struck to Death by a Fallen Metal I-beam,
102,3,,Trapped underneath the Dumping Platform of a Dumper,
104,21,,A Worker Rammed into a Rock,
105,20,,Struck by a Concrete Skip under Lifting,
106,20,,Struck by Displaced Panels,
108,4,,Struck by an Elevating Working Platform,
109,20,,Struck by a Fallen Solar Panel,
115,3,,Fallen from the deck of a telescopic mobile crane,
119,20,,Pressed to Death by a Toppled Metal Hoarding,
123,3,,Pressed to Death by Collapsed Wall,
124,20,,Struck by a Moving Vehicle on a Public Road,
126,4,,Collapse of Reinforcement Bar Structure,
128,3,,Pressed to death by a Machine Component on a Vehicle Platform,
130,7,,Struck by a Wire Rope of a Winch,
131,20,,Struck by Fallen Metal Beam and Fell from Height,
132,7,,Trapped by Bundles of Wooden Battens,
136,5,,Fall to Death from a Plant Room,
138,20,,Struck to Death by a Metal I-beam,
139,20,,Struck to Death by a Metal Strut,
141,3,,Trapped between a Mobile Crane and a Railing,
143,3,,Trapped by the Conveyor Belt of a Rock Crushing Plant,
144,5,,Fall from a Planter,
145,3,,Knocked down by an Excavator,
147,20,,Struck to Death by a Collapsed I-beam,
148,20,,Struck to Death by a Reversing Water Wagon,
150,3,,Pressed to Death by a Descending Lift Car,
151,20,,Struck to Death by a Reversing Reach Stacker,
157,3,,Pressed to Death by a Toppled Sliding Gate,
158,20,,Struck by a Descending Material Hoist and Fell from Height,
159,3,,Operator Pressed to Death by a Toppled Excavator,
160,20,,Struck to Death by Falling Concrete Debris,
161,20,,Crushed to Death by Toppled Aluminum Panels,
162,20,,Struck to Death by a Toppled Wooden Crate,
163,20,,Struck by Moving Vehicle on Carriageway,
164,3,,Pressed to Death by a Collapsed Wooden Platform,
165,3,,Struck by Machine Component being Stowed into a Container Truck Compartment by a Fork-lift Truck,
166,20,,Struck to Death by a Reversing Reach Stacker,
167,20,,Fall from a Pile Casing Rotator,
170,20,,Struck to Death by a Burst Tyre,
171,20,,Struck to death by Fallen Glass Panels,
172,4,,Trapped by the Deformed Elevating Work Platform,
175,3,,Knocked over by a Lorry,
178,3,,Knocked over by a Lorry,
180,7,,Fall from Receptacle Cage Top of a Material Hoist,
185,3,,Fall from Lorry,
187,3,,Fall from Truck-mounted Crane,
188,3,,Trapped to Death by a Loader under Repair,
192,20,,Struck by Toppled Metal Frame of a Reverse Circulation Drilling System,
194,3,,Collapse of a Derrick Crane,
195,3,,Trapped between a Cargo and a Metal Sliding Door,
196,3,,Trapped by a Lift Car,
198,20,,Struck by a Metal Bracket under Lifting,
199,20,,Struck by a Fallen Load,
200,3,,Trapped by a Lift Car,
201,3,,Trapped inside a Lift Shaft,
203,3,,Struck by an Excavator,
204,20,,Struck by a Sheet Pile,
209,3,,Struck by a load fallen from an Overturned Truck-mounted Crane,
210,3,,Trapped by an Overturned Excavator,
211,5,,Fall from a Planter,
214,3,,Trapped by the Jib of a Truck-mounted Crane,
215,4,,Fall from a Mobile Ladder Platform,
216,3,,Crushed underneath the Crawler of an Excavator under Repair,
217,3,,Collapse of a Tower Crane,
218,3,,Overturning of a Wheel-mounted Crane,
219,13,,Run over by a Maintenance Train,
226,7,,Worker Trapped between Two Dollies,
227,3,,Knocked down by a Fork-lift Truck,
230,3,,Trapped underneath the Dump Body of a Grab Loader,
231,3,,Trapped between a Refuse Container Tractor and a Refuse Tipper,
233,3,,Trapped by the Conveyor Belt of a Concrete Batching Plant,
235,3,,Fall from a Crawler-mounted Crane under Repair,
236,20,,Crushed by a Collapsed Vehicle under Repair,
237,3,,Trapped by an Overturned Fork-lift Truck,
239,4,,Collapse of a Working Platform on Metal Falsework,
241,20,,Struck by Moving Vehicle on a Carriageway,
242,3,,Overturning of a Crawler-mounted Piling Rig,
243,7,,Being Trapped by the Grab of a Grab Loader,
244,3,,Falling from an Extended Outrigger of a Truck-mounted Crane,
245,3,,Trapped in between a Vehicle and a Fork-lift Truck,
250,20,,Struck by Moving Vehicle on Expressway,
253,3,,Trapped by the Tail Lift of a Lorry,
254,20,,Struck by a Moving Vehicle,
259,3,,Overturning of a Truck-mounted Crane,
261,20,,Struck to Death by Bursting of an Aircraft Tyre,
262,20,,Struck by a Front Loader,
263,3,,Struck by the Counterweight of a Lift,
272,3,,Trapped by Moving Parts of a Concrete Batching Plant,
276,3,,Trapped by a Load on the Loading Platform of a Truck-mounted Crane,
277,3,,Struck by a Lorry,
279,3,,Trapped by the Lifting Jib of a Truck-mounted Crane,
280,3,,Trapped in between the Driving Cabin and the Boom of an Excavator,
283,4,,Collapse of a Metal Working Platform,
284,3,,Trapped by the Spiked Shafts of a Machine,
287,3,,Collapse of the Mast of a High Lift Order Picker,
288,3,,Overturn of a Front Loader,
292,5,,Struck by Falling Units of Plant,
293,3,,Struck by the Auxiliary Hook of a Crawler-mounted Crane,
295,20,,Entangled with the Revolving Part of a Bench Type Drilling Machine,
296,3,,Crushed by the Lattice Boom of a Crawler-mounted Crane,
297,3,,Struck by the Counterweight of a Lift,
298,4,,Failure of a Truck-mounted Elevating Work Platform,
301,3,,Truck Being Lifted by a Gantry Crane,
302,5,,Failure of a Bored Piling Plant,
303,20,,Struck by Water Pipes,
304,3,,Struck by Lift Car,
305,4,,Collapse of Lifting Frame,
309,20,,Struck by Falling Object,
316,3,,Struck by a Telescopic Boom Detached from a Lorry-mounted Crane,
320,3,,Struck by an Excavator,
321,3,,Trapped by the Tailgate of a Truck,
322,3,,A Fork-lift Truck Plunged into the Sea,
323,20,,Struck by a backstay of a drilling rig,
328,3,,Fall from a Lorry-mounted Crane,
329,3,,Trapped by a Fork-lift Truck,
331,3,,Struck by the Detached Telescopic Boom from a Truck,
332,20,,Struck by an I-Beam Structure,
333,20,,Struck by a Pile Casing,
339,20,,Struck by a Falling Bored Pile Casing,
342,20,,Struck by a Falling Drainage Pipe,
345,3,,Ran over by a Reversing Dumper Truck,
350,3,,Struck by an Excavator,
351,4,,Fall onto Projecting Steel Starter Bars,
352,20,,Struck by a Loader,
353,3,,Trapped by the Spiked Cylinders of a Fiber Conveying Machine,
355,3,,Struck by a lorry,
363,4,,Collapse of Concrete Beam,
364,3,,Trapped by the Tailgate of a Truck,
369,3,,Trapped by the Tailgate of a Truck,
370,3,,Fall from a Lorry-mounted Crane,
371,5,,Person Struck by Mobile Plant,
372,20,,Struck by a Chiller Being Transported,
378,4,,Working Platform under Suspension at Height,
380,14,,Cable Placement Work,
382,20,,Crushed by a Coach Under Repair,
395,3,,Stuck Lift,
396,4,,Use of Portable Ladders,
397,5,,Tree Work,
