time,titles,labels,types
December 2024,Struck by Falling Curtain Wall Panel,2,Struck by Falling Object
December 2024,Struck by Falling Metal Pipes,2,Struck by Falling Object
November 2024,Trapped by Moving Parts of Escalator,4,Trapped / crushed / caught / collapse
November 2024,Trapped between Elevating Work Platform and Ceiling,4,Trapped / crushed / caught / collapse
November 2024,Trapped by Material Hoist,4,Trapped / crushed / caught / collapse
November 2024,Fall from Suspended Metal Walkway Panel,1,Fall from Height
November 2024,Fall from Height while Dismantling Truss-out Bamboo Scaffold,1,Fall from Height
October 2024,Falling from Shore into Sea,8,Drowning
October 2024,Fall from Unprotected Edge of Belt Loader,1,Fall from Height
October 2024,Fall from Height while Dismantling a Bamboo Scaffold,1,Fall from Height
September 2024,Fall from Unprotected Void of Scaffolding,1,Fall from Height
September 2024,Pressed to Death by Falling Equipment,4,Trapped / crushed / caught / collapse
July 2024,Trapped between Excavator and Dump Truck,4,Trapped / crushed / caught / collapse
July 2024,Fall from Height while Erecting a Truss-out Bamboo Scaffold,1,Fall from Height
July 2024,Fall from a Metal Ladder,1,Fall from Height
June 2024,Struck to Death by Falling Metal Pipes,2,Struck by Falling Object
June 2024,Struck to Death by Falling Metal I-beams,2,Struck by Falling Object
May 2024,Trapped in Elevating Work Platform,4,Trapped / crushed / caught / collapse
May 2024,Struck to Death by Falling Metal Boards,2,Struck by Falling Object
April 2024,Fallen from Tail Lift of a Truck,1,Fall from Height
April 2024,Fatal Accident in Drainage Work,6,Exposure to harmful substance / asphyxiation / poisoning
March 2024,Fall from Scaffolding,1,Fall from Height
March 2024,Struck to Death by a Bundle of Timbers,2,Struck by Falling Object
February 2024,Collapse of Bamboo Scaffold,1,Fall from Height
February 2024,Run Over to Death by Aircraft,3,Struck by vehicle / moving object
January 2024,Knocked Down by Reversing Truck,3,Struck by vehicle / moving object
December 2023,Struck by a Metal Block,2,Struck by Falling Object
December 2023,Trapped by Collapsed Lower Deck Loader,4,Trapped / crushed / caught / collapse
December 2023,Trapped between a Refuse Container Tractor and a Refuse Tipper,4,Trapped / crushed / caught / collapse
December 2023,Fallen from Metal Structure,1,Fall from Height
December 2023,Suspected Electrocution while Conducting Electrical Wiring Work,5,Electrocution
November 2023,Fallen from Tail Lift of a Truck,1,Fall from Height
November 2023,Trapped between Two Excavators,4,Trapped / crushed / caught / collapse
November 2023,Tripped Over and Slammed into a Wall,4,Trapped / crushed / caught / collapse
November 2023,Struck by Falling Metal Fin,2,Struck by Falling Object
November 2023,Pressed by Demolition Debris,4,Trapped / crushed / caught / collapse
October 2023,A Worker Fallen into Sea from a Dock,8,Drowning
October 2023,Fallen from a Cable Tray,1,Fall from Height
September 2023,Struck to Death by an Overturned Precast Concrete Wall Panel,2,Struck by Falling Object
September 2023,Gas Poisoning in Underground Cooling Main,6,Exposure to harmful substance / asphyxiation / poisoning
September 2023,Knocked Down by Vehicle,3,Struck by vehicle / moving object
September 2023,Suspected Electrocution while Dismantling a Cable from a Switchboard,5,Electrocution
August 2023,Pressed to Death by Collapsed Wall,4,Trapped / crushed / caught / collapse
August 2023,Suspected Electrocution while Relocating Electrical Installations,5,Electrocution
August 2023,Fallen with a Toppled Mobile Elevating Work Platform,1,Fall from Height
July 2023,Use of Chemicals Inside a Water Tank,6,Exposure to harmful substance / asphyxiation / poisoning
Jun 2023,Fall through a Skylight Opening,1,Fall from Height
May 2023,Trapped to Death between a Forklift Truck and an Power-operated Elevating Work Platform,4,Trapped / crushed / caught / collapse
May 2023,Fallen from a Metal Access Tower,1,Fall from Height
May 2023,Attacked by Bees/ Wasps,0,Others
May 2023,Run Over to Death by a Rubber Tyred Gantry Crane,3,Struck by vehicle / moving object
April 2023,Fall into a Lift Well of an Office Building,1,Fall from Height
March 2023,Fall through a Floor Opening,1,Fall from Height
March 2023,Fall from Height,1,Fall from Height
February 2023,Fall Over Parapet Wall,1,Fall from Height
January 2023,Fell Together with a Collapsed Metal Platform,1,Fall from Height
January 2023,Fallen From a Truck,1,Fall from Height
January 2023,Trapped by the Mixer Arm of a Mixing Machine,4,Trapped / crushed / caught / collapse
December 2022,Struck to Death by a Burst Fender Panel,2,Struck by Falling Object
December 2022,Struck to Death by a Collapsed Metal I-beam,2,Struck by Falling Object
December 2022,Fallen from a Bamboo Scaffold Under Erection,1,Fall from Height
December 2022,Pressed by Collapsed U-channels,4,Trapped / crushed / caught / collapse
November 2022,Trapped underneath a Vibratory Compactor,4,Trapped / crushed / caught / collapse
November 2022,Collapse of Reinforcement Bar Structure,4,Trapped / crushed / caught / collapse
October 2022,Fallen from a Mobile Platform Ladder,1,Fall from Height
October 2022,Fall from Height from Flat Roof,1,Fall from Height
September 2022,Collapse of a Tower Crane,4,Trapped / crushed / caught / collapse
August 2022,Pressed to Death by a Toppled Sliding Gate,4,Trapped / crushed / caught / collapse
July 2022,Fall over Staircase Railing from a Wooden Ladder,1,Fall from Height
July 2022,Fall through a Floor Opening,1,Fall from Height
June 2022,Fallen with a Collapsed Suspended Working Platform,1,Fall from Height
May 2022,Trapped by Revolving Cutters of a Bale Breaker,4,Trapped / crushed / caught / collapse
May 2022,Pressed to Death by a Toppled Metal Lift Shaft Working Platform,4,Trapped / crushed / caught / collapse
May 2022,Crushed by the Robotic Arm of a Palletizer,4,Trapped / crushed / caught / collapse
May 2022,Fallen from Height while Engaging in the Truss-out Bamboo Scaffold Erection Work,1,Fall from Height
April 2022,Fallen from a Collapsed Bamboo Scaffold Under Erection,1,Fall from Height
April 2022,Fall through a Floor Opening,1,Fall from Height
March 2022,Trapped and Entangled by the Revolving Spiral Conveyor of a Plastic Crushing Machine,4,Trapped / crushed / caught / collapse
February 2022,Fall from Height while Dismantling a Bamboo Scaffold,1,Fall from Height
January 2022,Trapped between a Crane Boom under Repair and a Foundation Plant,4,Trapped / crushed / caught / collapse
January 2022,Fallen from a Mobile Elevating Work Platform,1,Fall from Height
December 2021,Gas Poisoning in Drainage Work,6,Exposure to harmful substance / asphyxiation / poisoning
December 2021,Struck to Death by Falling Objects,2,Struck by Falling Object
December 2021,Fall from Height while Dismantling a Truss-out scaffold,1,Fall from Height
November 2021,Fall from Height while Erecting a Truss-out Scaffold,1,Fall from Height
November 2021,Fire Broken Out inside a Godown under Demolition,7,Fire / explosion / thermal burn
November 2021,Workers Injured in an Underground Sewage Facility,6,Exposure to harmful substance / asphyxiation / poisoning
November 2021,Knocked Down by a Tow Truck,3,Struck by vehicle / moving object
October 2021,Pressed to Death by an Elevating Work Platform,4,Trapped / crushed / caught / collapse
October 2021,Fall through a Floor Opening,1,Fall from Height
October 2021,Struck by Wire Rope of a Crawler Crane under Repair,3,Struck by vehicle / moving object
October 2021,Trapped by Collapsed Bamboo Scaffolds,1,Fall from Height
September 2021,Trapped to Death by a Lorry,4,Trapped / crushed / caught / collapse
September 2021,Fall from Height while Erecting a Truss-out Bamboo Scaffold,1,Fall from Height
August 2021,Fallen with the Working Platform of a Collapsed Truck-mounted Elevating Work Platform,1,Fall from Height
August 2021,Suspected to have been Electrocuted at a Pump Room,5,Electrocution
July 2021,Fall from an Elevated Working Platform that Overturned from a Lorry Platform,1,Fall from Height
July 2021,Struck to Death by a Fallen Metal I-beam,2,Struck by Falling Object
June 2021,Trapped between an Elevating Work Platform and a Sprinkler Pipe,6,Exposure to harmful substance / asphyxiation / poisoning
June 2021,Fallen from Height while Engaging in the Bamboo Scaffold Erection Work,1,Fall from Height
May 2021,Fall from Height,1,Fall from Height
May 2021,Fall from Height,1,Fall from Height
May 2021,Trapped underneath the Dumping Platform of a Dumper,4,Trapped / crushed / caught / collapse
May 2021,Fall from Roof,1,Fall from Height
May 2021,A Worker Rammed into a Rock,0,Others
April 2021,Struck by a Concrete Skip under Lifting,3,Struck by vehicle / moving object
April 2021,Struck by Displaced Panels,3,Struck by vehicle / moving object
April 2021,Fallen from a Bamboo Scaffold,1,Fall from Height
April 2021,Struck by an Elevating Working Platform,3,Struck by vehicle / moving object
March 2021,Struck by a Fallen Solar Panel,3,Struck by vehicle / moving object
March 2021,Fall from a Wooden Ladder,1,Fall from Height
March 2021,Fallen From a Toppled Step Platform,1,Fall from Height
February 2021,Fall from Height,1,Fall from Height
February 2021,Fall from a Step-Ladder,1,Fall from Height
January 2021,Fallen into a Refuse Chute,1,Fall from Height
January 2021,Fallen from the deck of a telescopic mobile crane,1,Fall from Height
December 2020,Fallen from Height,1,Fall from Height
December 2020,Fall from the rooftop of a building,1,Fall from Height
December 2020,Fallen from Height while Erecting a Truss-out Bamboo Scaffold,1,Fall from Height
December 2020,Pressed to Death by a Toppled Metal Hoarding,4,Trapped / crushed / caught / collapse
November 2020,Drowning while Conducting Underwater Welding Work,8,Drowning
October 2020,Fall through a Floor Opening,1,Fall from Height
October 2020,Fall through a Void,1,Fall from Height
October 2020,Pressed to Death by Collapsed Wall,4,Trapped / crushed / caught / collapse
August 2020,Struck by a Moving Vehicle on a Public Road,3,Struck by vehicle / moving object
July 2020,Fall into a Subsided Hole and Trapped to Death,1,Fall from Height
July 2020,Collapse of Reinforcement Bar Structure,4,Trapped / crushed / caught / collapse
July 2020,Suspected Electrocution while touching Cable of Electric Arc Welding Equipment,5,Electrocution
July 2020,Pressed to death by a Machine Component on a Vehicle Platform,4,Trapped / crushed / caught / collapse
July 2020,Fall from a Folding Step-Ladder,1,Fall from Height
June 2020,Struck by a Wire Rope of a Winch,3,Struck by vehicle / moving object
June 2020,Struck by Fallen Metal Beam and Fell from Height,2,Struck by Falling Object
June 2020,Trapped by Bundles of Wooden Battens,4,Trapped / crushed / caught / collapse
June 2020,Collapse of a Metal Scaffold,1,Fall from Height
June 2020,Fall from Height while Dismantling a Mobile Tubular scaffold,1,Fall from Height
June 2020,Struck by Dispersed Metal Tubes and Fell from Height,1,Fall from Height
May 2020,Fall to Death from a Plant Room,1,Fall from Height
May 2020,Struck by fallen bamboo members and fell from height,1,Fall from Height
April 2020,Struck to Death by a Metal I-beam,2,Struck by Falling Object
March 2020,Struck to Death by a Metal Strut,2,Struck by Falling Object
March 2020,Fall from a Retaining Wall,1,Fall from Height
January 2020,Trapped between a Mobile Crane and a Railing,4,Trapped / crushed / caught / collapse
January 2020,Fall from a Metal A-Ladder,1,Fall from Height
January 2020,Trapped by the Conveyor Belt of a Rock Crushing Plant,4,Trapped / crushed / caught / collapse
December 2019,Fall from a Planter,1,Fall from Height
December 2019,Knocked down by an Excavator,3,Struck by vehicle / moving object
December 2019,Fall from a Bamboo Scaffold,1,Fall from Height
December 2019,Struck to Death by a Collapsed I-beam,2,Struck by Falling Object
November 2019,Struck to Death by a Reversing Water Wagon,3,Struck by vehicle / moving object
October 2019,Flashover Occurred at a Biodiesel Reaction Tank under Repair,7,Fire / explosion / thermal burn
October 2019,Pressed to Death by a Descending Lift Car,4,Trapped / crushed / caught / collapse
October 2019,Struck to Death by a Reversing Reach Stacker,3,Struck by vehicle / moving object
October 2019,Fall from a Bamboo Scaffold,1,Fall from Height
September 2019,Fall to Death from a Viaduct,1,Fall from Height
August 2019,Fall through a Window Opening,1,Fall from Height
August 2019,Fall from Wooden Formwork,1,Fall from Height
August 2019,Fallen into Sea together with a Bulldozer,8,Drowning
August 2019,Pressed to Death by a Toppled Sliding Gate,4,Trapped / crushed / caught / collapse
July 2019,Struck by a Descending Material Hoist and Fell from Height,4,Trapped / crushed / caught / collapse
July 2019,Operator Pressed to Death by a Toppled Excavator,4,Trapped / crushed / caught / collapse
July 2019,Struck to Death by Falling Concrete Debris,2,Struck by Falling Object
June 2019,Crushed to Death by Toppled Aluminum Panels,4,Trapped / crushed / caught / collapse
June 2019,Struck to Death by a Toppled Wooden Crate,3,Struck by vehicle / moving object
June 2019,Struck by Moving Vehicle on Carriageway,3,Struck by vehicle / moving object
April 2019,Pressed to Death by a Collapsed Wooden Platform,4,Trapped / crushed / caught / collapse
April 2019,Struck by Machine Component being Stowed into a Container Truck Compartment by a Fork-lift Truck,3,Struck by vehicle / moving object
April 2019,Struck to Death by a Reversing Reach Stacker,3,Struck by vehicle / moving object
March 2019,Fall from a Pile Casing Rotator,1,Fall from Height
March 2019,Fall from a ladder while an air-conditioning plant under repair exploded,1,Fall from Height
March 2019,Struck by a Falling Wooden Batten and Fell from Height,1,Fall from Height
February 2019,Struck to Death by a Burst Tyre,3,Struck by vehicle / moving object
February 2019,Struck to death by Fallen Glass Panels,2,Struck by Falling Object
February 2019,Trapped by the Deformed Elevating Work Platform,4,Trapped / crushed / caught / collapse
January 2019,Fall through a Floor Opening,1,Fall from Height
January 2019,Fall from Height from a Truss-out Bamboo Scaffold,1,Fall from Height
January 2019,Knocked over by a Lorry,3,Struck by vehicle / moving object
December 2018,Fall from Height while Erecting a Truss-out Bamboo Scaffold,1,Fall from Height
December 2018,Fall from Height while Dismantling a Truss-out Bamboo scaffold,1,Fall from Height
December 2018,Knocked over by a Lorry,3,Struck by vehicle / moving object
November 2018,Fall from Roof,1,Fall from Height
October 2018,Fall from Receptacle Cage Top of a Material Hoist,1,Fall from Height
September 2018,Drowning in Mangrove Swamp,8,Drowning
September 2018,Suspected Electric Shock while Conducting Pipe Cutting Work,5,Electrocution
September 2018,Fall through a floor opening,1,Fall from Height
August 2018,Fall from a wooden ladder,1,Fall from Height
August 2018,Fall from Lorry,1,Fall from Height
July 2018,Fall from a Bamboo Scaffold inside a Lift Shaft,1,Fall from Height
July 2018,Fall from Truck-mounted Crane,1,Fall from Height
June 2018,Trapped to Death by a Loader under Repair,4,Trapped / crushed / caught / collapse
May 2018,Fall from Upper Roof,1,Fall from Height
April 2018,Fall from a Bamboo Scaffold,1,Fall from Height
April 2018,Fall from Height while Installing Metal Claddings on Roof,1,Fall from Height
April 2018,Struck by Toppled Metal Frame of a Reverse Circulation Drilling System,2,Struck by Falling Object
March 2018,Fall from Height While Erecting a Bamboo Scaffold,1,Fall from Height
March 2018,Collapse of a Derrick Crane,4,Trapped / crushed / caught / collapse
March 2018,Trapped between a Cargo and a Metal Sliding Door,4,Trapped / crushed / caught / collapse
February 2018,Trapped by a Lift Car,4,Trapped / crushed / caught / collapse
