Date,Accident Title
December 2024,Struck by Falling Curtain Wall Panel
December 2024,Struck by Falling Metal Pipes
November 2024,Trapped by Moving Parts of Escalator
November 2024,Trapped between Elevating Work Platform and Ceiling
November 2024,Trapped by Material Hoist
November 2024,Fall from Suspended Metal Walkway Panel
November 2024,Fall from Height while Dismantling Truss-out Bamboo Scaffold
October 2024,Falling from Shore into Sea
October 2024,Fall from Unprotected Edge of Belt Loader
October 2024,Fall from Height while Dismantling a Bamboo Scaffold
September 2024,Fall from Unprotected Void of Scaffolding
September 2024,Pressed to Death by Falling Equipment
July 2024,Trapped between Excavator and Dump Truck
July 2024,Fall from Height while Erecting a Truss-out Bamboo Scaffold
July 2024,Fall from a Metal Ladder
June 2024,Struck to Death by Falling Metal Pipes
June 2024,Struck to Death by Falling Metal I-beams
May 2024,Trapped in Elevating Work Platform
May 2024,Struck to Death by Falling Metal Boards
April 2024,Fallen from Tail Lift of a Truck
April 2024,Fatal Accident in Drainage Work
March 2024,Fall from Scaffolding
March 2024,Struck to Death by a Bundle of Timbers
February 2024,Collapse of Bamboo Scaffold
February 2024,Run Over to Death by Aircraft
January 2024,Knocked Down by Reversing Truck
December 2023,Struck by a Metal Block
December 2023,Trapped by Collapsed Lower Deck Loader
December 2023,Trapped between a Refuse Container Tractor and a Refuse Tipper
December 2023,Fallen from Metal Structure
December 2023,Suspected Electrocution while Conducting Electrical Wiring Work
November 2023,Fallen from Tail Lift of a Truck
November 2023,Trapped between Two Excavators
November 2023,Tripped Over and Slammed into a Wall
November 2023,Struck by Falling Metal Fin
November 2023,Pressed by Demolition Debris
October 2023,A Worker Fallen into Sea from a Dock
October 2023,Fallen from a Cable Tray
September 2023,Struck to Death by an Overturned Precast Concrete Wall Panel
September 2023,Gas Poisoning in Underground Cooling Main
September 2023,Knocked Down by Vehicle
September 2023,Suspected Electrocution while Dismantling a Cable from a Switchboard
August 2023,Pressed to Death by Collapsed Wall
August 2023,Suspected Electrocution while Relocating Electrical Installations
August 2023,Fallen with a Toppled Mobile Elevating Work Platform
July 2023,Use of Chemicals Inside a Water Tank
Jun 2023,Fall through a Skylight Opening
May 2023,Trapped to Death between a Forklift Truck and an Power-operated Elevating Work Platform
May 2023,Fallen from a Metal Access Tower
May 2023,Attacked by Bees/ Wasps
May 2023,Run Over to Death by a Rubber Tyred Gantry Crane
April 2023,Fall into a Lift Well of an Office Building
March 2023,Fall through a Floor Opening
March 2023,Fall from Height
February 2023,Fall Over Parapet Wall
January 2023,Fell Together with a Collapsed Metal Platform
January 2023,Fallen From a Truck
January 2023,Trapped by the Mixer Arm of a Mixing Machine
December 2022,Struck to Death by a Burst Fender Panel
December 2022,Struck to Death by a Collapsed Metal I-beam
December 2022,Fallen from a Bamboo Scaffold Under Erection
December 2022,Pressed by Collapsed U-channels
November 2022,Trapped underneath a Vibratory Compactor
November 2022,Collapse of Reinforcement Bar Structure
October 2022,Fallen from a Mobile Platform Ladder
October 2022,Fall from Height from Flat Roof
September 2022,Collapse of a Tower Crane
August 2022,Pressed to Death by a Toppled Sliding Gate
July 2022,Fall over Staircase Railing from a Wooden Ladder
July 2022,Fall through a Floor Opening
June 2022,Fallen with a Collapsed Suspended Working Platform
May 2022,Trapped by Revolving Cutters of a Bale Breaker
May 2022,Pressed to Death by a Toppled Metal Lift Shaft Working Platform
May 2022,Crushed by the Robotic Arm of a Palletizer
May 2022,Fallen from Height while Engaging in the Truss-out Bamboo Scaffold Erection Work
April 2022,Fallen from a Collapsed Bamboo Scaffold Under Erection
April 2022,Fall through a Floor Opening
March 2022,Trapped and Entangled by the Revolving Spiral Conveyor of a Plastic Crushing Machine
February 2022,Fall from Height while Dismantling a Bamboo Scaffold
January 2022,Trapped between a Crane Boom under Repair and a Foundation Plant
January 2022,Fallen from a Mobile Elevating Work Platform
December 2021,Gas Poisoning in Drainage Work
December 2021,Struck to Death by Falling Objects
December 2021,Fall from Height while Dismantling a Truss-out scaffold
November 2021,Fall from Height while Erecting a Truss-out Scaffold
November 2021,Fire Broken Out inside a Godown under Demolition
November 2021,Workers Injured in an Underground Sewage Facility
November 2021,Knocked Down by a Tow Truck
October 2021,Pressed to Death by an Elevating Work Platform
October 2021,Fall through a Floor Opening
October 2021,Struck by Wire Rope of a Crawler Crane under Repair
October 2021,Trapped by Collapsed Bamboo Scaffolds
September 2021,Trapped to Death by a Lorry
September 2021,Fall from Height while Erecting a Truss-out Bamboo Scaffold
August 2021,Fallen with the Working Platform of a Collapsed Truck-mounted Elevating Work Platform
August 2021,Suspected to have been Electrocuted at a Pump Room
July 2021,Fall from an Elevated Working Platform that Overturned from a Lorry Platform
July 2021,Struck to Death by a Fallen Metal I-beam
June 2021,Trapped between an Elevating Work Platform and a Sprinkler Pipe
June 2021,Fallen from Height while Engaging in the Bamboo Scaffold Erection Work
May 2021,Fall from Height
May 2021,Fall from Height
May 2021,Trapped underneath the Dumping Platform of a Dumper
May 2021,Fall from Roof
May 2021,A Worker Rammed into a Rock
April 2021,Struck by a Concrete Skip under Lifting
April 2021,Struck by Displaced Panels
April 2021,Fallen from a Bamboo Scaffold
April 2021,Struck by an Elevating Working Platform
March 2021,Struck by a Fallen Solar Panel
March 2021,Fall from a Wooden Ladder
March 2021,Fallen From a Toppled Step Platform
February 2021,Fall from Height
February 2021,Fall from a Step-Ladder
January 2021,Fallen into a Refuse Chute
January 2021,Fallen from the deck of a telescopic mobile crane
December 2020,Fallen from Height
December 2020,Fall from the rooftop of a building
December 2020,Fallen from Height while Erecting a Truss-out Bamboo Scaffold
December 2020,Pressed to Death by a Toppled Metal Hoarding
November 2020,Drowning while Conducting Underwater Welding Work
October 2020,Fall through a Floor Opening
October 2020,Fall through a Void
October 2020,Pressed to Death by Collapsed Wall
August 2020,Struck by a Moving Vehicle on a Public Road
July 2020,Fall into a Subsided Hole and Trapped to Death
July 2020,Collapse of Reinforcement Bar Structure
July 2020,Suspected Electrocution while touching Cable of Electric Arc Welding Equipment
July 2020,Pressed to death by a Machine Component on a Vehicle Platform
July 2020,Fall from a Folding Step-Ladder
June 2020,Struck by a Wire Rope of a Winch
June 2020,Struck by Fallen Metal Beam and Fell from Height
June 2020,Trapped by Bundles of Wooden Battens
June 2020,Collapse of a Metal Scaffold
June 2020,Fall from Height while Dismantling a Mobile Tubular scaffold
June 2020,Struck by Dispersed Metal Tubes and Fell from Height
May 2020,Fall to Death from a Plant Room
May 2020,Struck by fallen bamboo members and fell from height
April 2020,Struck to Death by a Metal I-beam
March 2020,Struck to Death by a Metal Strut
March 2020,Fall from a Retaining Wall
January 2020,Trapped between a Mobile Crane and a Railing
January 2020,Fall from a Metal A-Ladder
January 2020,Trapped by the Conveyor Belt of a Rock Crushing Plant
December 2019,Fall from a Planter
December 2019,Knocked down by an Excavator
December 2019,Fall from a Bamboo Scaffold
December 2019,Struck to Death by a Collapsed I-beam
November 2019,Struck to Death by a Reversing Water Wagon
October 2019,Flashover Occurred at a Biodiesel Reaction Tank under Repair
October 2019,Pressed to Death by a Descending Lift Car
October 2019,Struck to Death by a Reversing Reach Stacker
October 2019,Fall from a Bamboo Scaffold
September 2019,Fall to Death from a Viaduct
August 2019,Fall through a Window Opening
August 2019,Fall from Wooden Formwork
August 2019,Fallen into Sea together with a Bulldozer
August 2019,Pressed to Death by a Toppled Sliding Gate
July 2019,Struck by a Descending Material Hoist and Fell from Height
July 2019,Operator Pressed to Death by a Toppled Excavator
July 2019,Struck to Death by Falling Concrete Debris
June 2019,Crushed to Death by Toppled Aluminum Panels
June 2019,Struck to Death by a Toppled Wooden Crate
June 2019,Struck by Moving Vehicle on Carriageway
April 2019,Pressed to Death by a Collapsed Wooden Platform
April 2019,Struck by Machine Component being Stowed into a Container Truck Compartment by a Fork-lift Truck
April 2019,Struck to Death by a Reversing Reach Stacker
March 2019,Fall from a Pile Casing Rotator
March 2019,Fall from a ladder while an air-conditioning plant under repair exploded
March 2019,Struck by a Falling Wooden Batten and Fell from Height
February 2019,Struck to Death by a Burst Tyre
February 2019,Struck to death by Fallen Glass Panels
February 2019,Trapped by the Deformed Elevating Work Platform
January 2019,Fall through a Floor Opening
January 2019,Fall from Height from a Truss-out Bamboo Scaffold
January 2019,Knocked over by a Lorry
December 2018,Fall from Height while Erecting a Truss-out Bamboo Scaffold
December 2018,Fall from Height while Dismantling a Truss-out Bamboo scaffold
December 2018,Knocked over by a Lorry
November 2018,Fall from Roof
October 2018,Fall from Receptacle Cage Top of a Material Hoist
September 2018,Drowning in Mangrove Swamp
September 2018,Suspected Electric Shock while Conducting Pipe Cutting Work
September 2018,Fall through a floor opening
August 2018,Fall from a wooden ladder
August 2018,Fall from Lorry
July 2018,Fall from a Bamboo Scaffold inside a Lift Shaft
July 2018,Fall from Truck-mounted Crane
June 2018,Trapped to Death by a Loader under Repair
May 2018,Fall from Upper Roof
April 2018,Fall from a Bamboo Scaffold
April 2018,Fall from Height while Installing Metal Claddings on Roof
April 2018,Struck by Toppled Metal Frame of a Reverse Circulation Drilling System
March 2018,Fall from Height While Erecting a Bamboo Scaffold
March 2018,Collapse of a Derrick Crane
March 2018,Trapped between a Cargo and a Metal Sliding Door
February 2018,Trapped by a Lift Car
January 2018,Fall from Height while Installing Glass Panel at Skylight
December 2017,Struck by a Metal Bracket under Lifting
November 2017,Struck by a Fallen Load
November 2017,Trapped by a Lift Car
November 2017,Trapped inside a Lift Shaft
October 2017,Fall from Height while Carrying out Air-conditioning Work
October 2017,Struck by an Excavator
October 2017,Struck by a Sheet Pile
September 2017,Falling from a Metal Scaffold
September 2017,Fall from a Portable Metal Ladder
September 2017,Fall from Roof
September 2017,Displacement of a Bamboo Scaffold
August 2017,Struck by a load fallen from an Overturned Truck-mounted Crane
August 2017,Trapped by an Overturned Excavator
August 2017,Fall from a Planter
July 2017,Electrocuted During Installation of Air-conditioning System
July 2017,Drowning in Hand-dug Tunnel
June 2017,Trapped by the Jib of a Truck-mounted Crane
June 2017,Fall from a Mobile Ladder Platform
June 2017,Crushed underneath the Crawler of an Excavator under Repair
June 2017,Collapse of a Tower Crane
May 2017,Overturning of a Wheel-mounted Crane
May 2017,Run over by a Maintenance Train
April 2017,Crushed by an Overturned Hollow Metal Cylinder
March 2017,Collapse of a Temporary Working Platform Over the Sea
March 2017,Fall from Working Platform Erected at External Wall
March 2017,Fall from a Metal Platform under Construction
March 2017,Fall from Upper Floor of a Superstructure
February 2017,Buried in Coal Ash inside a Silo
February 2017,Worker Trapped between Two Dollies
February 2017,Knocked down by a Fork-lift Truck
February 2017,Fall from Height while Dismantling an Amusement Ride
February 2017,Fall from Roof
January 2017,Trapped underneath the Dump Body of a Grab Loader
January 2017,Trapped between a Refuse Container Tractor and a Refuse Tipper
January 2017,Fall from Height while Climbing Down a Metal Scaffold
December 2016,Trapped by the Conveyor Belt of a Concrete Batching Plant
December 2016,Mishandling of Chemical Waste
November 2016,Fall from a Crawler-mounted Crane under Repair
November 2016,Crushed by a Collapsed Vehicle under Repair
November 2016,Trapped by an Overturned Fork-lift Truck
November 2016,Fall from Ladder while Conducting Inspection of Air-conditioning Units
November 2016,Collapse of a Working Platform on Metal Falsework
October 2016,Collapse of Catchfans of Scaffolding
October 2016,Struck by Moving Vehicle on a Carriageway
September 2016,Overturning of a Crawler-mounted Piling Rig
September 2016,Being Trapped by the Grab of a Grab Loader
September 2016,Falling from an Extended Outrigger of a Truck-mounted Crane
September 2016,Trapped in between a Vehicle and a Fork-lift Truck
August 2016,Electrocution when Laying Electric Cable
July 2016,Falling through a Plastic Panel from the Top of a Covered Walkway
July 2016,Falling from a Metal Working Platform into the Water
June 2016,Fall from Height while Conducting Electrical Wiring Work
June 2016,Struck by Moving Vehicle on Expressway
June 2016,Fall from a Wooden A-Ladder
June 2016,Fall onto a Stack of Metal Struts
June 2016,Trapped by the Tail Lift of a Lorry
June 2016,Struck by a Moving Vehicle
May 2016,Furnace Explosion of a Boiler
May 2016,Electrocution when Removing Electrical Installation
April 2016,Falling into Sea from a Sea Viaduct under Construction
April 2016,Fall from Height while engaging Air-conditioning Work
March 2016,Overturning of a Truck-mounted Crane
March 2016,Flashover while carrying out Excavation Work
March 2016,Struck to Death by Bursting of an Aircraft Tyre
February 2016,Struck by a Front Loader
February 2016,Struck by the Counterweight of a Lift
February 2016,Fall through a Window Opening
January 2016,Buried in Soil and Rocks at a Fill Bank
January 2016,Fall from Height while Carrying out Work on Roof
January 2016,Fall from Height while Replacing Air Duct Insulation Material
November 2015,Fall from a Canopy
November 2015,Fall from Height while Installing Cable Conduits
November 2015,Fall from a Stairway
October 2015,Buried in Sand inside a Concrete Batching Plant
October 2015,Trapped by Moving Parts of a Concrete Batching Plant
October 2015,Struck by a Ruptured Flexible High Pressure Air Hose
October 2015,Fall from Height while Dismantling a Truss-out Bamboo Scaffold
October 2015,Fall from Height while Erecting a Truss-out Bamboo Scaffold
October 2015,Trapped by a Load on the Loading Platform of a Truck-mounted Crane
October 2015,Struck by a Lorry
October 2015,Fall from a Bamboo Scaffold
September 2015,Trapped by the Lifting Jib of a Truck-mounted Crane
September 2015,Trapped in between the Driving Cabin and the Boom of an Excavator
August 2015,Worker Collapsed in an Underground Sewage Facility
August 2015,Fall through an Upper Floor Opening
August 2015,Collapse of a Metal Working Platform
August 2015,Trapped by the Spiked Shafts of a Machine
July 2015,Suspected Electrocution while Clearing UpElectric Arc Welding Equipment
July 2015,Suspected Electric Shock while Relocating a Water Pump
June 2015,Collapse of the Mast of a High Lift Order Picker
June 2015,Overturn of a Front Loader
May 2015,Fall from Height while Dismantling a Bamboo Scaffold
May 2015,Flashover while Pumping Water in a Cable Trench
May 2015,Fall from a Straight Ladder
April 2015,Struck by Falling Units of Plant
April 2015,Struck by the Auxiliary Hook of a Crawler-mounted Crane
March 2015,Fall from a Bamboo Scaffold
March 2015,Entangled with the Revolving Part of a Bench Type Drilling Machine
March 2015,Crushed by the Lattice Boom of a Crawler-mounted Crane
March 2015,Struck by the Counterweight of a Lift
February 2015,Failure of a Truck-mounted Elevating Work Platform
February 2015,Fall from a Bamboo Scaffold
January 2015,Fall from a Canopy
December 2014,Truck Being Lifted by a Gantry Crane
December 2014,Failure of a Bored Piling Plant
November 2014,Struck by Water Pipes
October 2014,Struck by Lift Car
October 2014,Collapse of Lifting Frame
September 2014,Suspected Electrocution while Conducting Scaffolding Work
September 2014,Gas Poisoning in Drainage Work
August 2014,Suspected Electrocution while Conducting Concrete Breaking Work
August 2014,Struck by Falling Object
August 2014,Fall through a Metal False Ceiling
July 2014,Fall from External Wall
July 2014,Fall from a Portable Ladder
July 2014,Collapse of Falsework
July 2014,Electrocution while Conducting Signal Cables Wiring Work
July 2014,Collapse of Containers
June 2014,Struck by a Telescopic Boom Detached from a Lorry-mounted Crane
June 2014,Fall from a Metal I-beam Structure
May 2014,Crush by Quayside Gantry Crane
May 2014,Electrical Wiring Work
May 2014,Struck by an Excavator
May 2014,Trapped by the Tailgate of a Truck
April 2014,A Fork-lift Truck Plunged into the Sea
March 2014,Struck by a backstay of a drilling rig
March 2014,Worker Caught Fire while Repairing Timber Floor
March 2014,Fall from a Truss-out Bamboo Scaffold
March 2014,Collapse of a Tower Working Platform leading to Fall of Persons from Height
February 2014,Overcome by Smoke in Underground Pipe Work
February 2014,Fall from a Lorry-mounted Crane
February 2014,Trapped by a Fork-lift Truck
February 2014,Falling through a Void on a Cockloft
February 2014,Struck by the Detached Telescopic Boom from a Truck
February 2014,Struck by an I-Beam Structure
February 2014,Struck by a Pile Casing
January 2014,Fall from a Glass Canopy
December 2013,Fall from a Truss-out Bamboo Scaffold
December 2013,Fall from Height while Erecting/Dismantling a Truss-out Bamboo Scaffold
December 2013,Fall from a Bamboo Scaffold
December 2013,Fall from a Window Opening
December 2013,Struck by a Falling Bored Pile Casing
December 2013,Fall from a Bamboo Scaffold
November 2013,Collapse of Containers
November 2013,Struck by a Falling Drainage Pipe
November 2013,Fall from a Bamboo Scaffold
November 2013,Fall from a Portable Ladder
November 2013,Ran over by a Reversing Dumper Truck
October 2013,Fall from a Portable Ladder
October 2013,Fall from a Bamboo Scaffold
October 2013,Fall from Height while Erecting/Dismantling a Truss-out Bamboo Scaffold
October 2013,Explosion of a Steam Boiler
September 2013,Struck by an Excavator
September 2013,Fall onto Projecting Steel Starter Bars
September 2013,Struck by a Loader
September 2013,Trapped by the Spiked Cylinders of a Fiber Conveying Machine
August 2013,Fall from a Parapet Wall
July 2013,Struck by a lorry
July 2013,Collapse of Soil
July 2013,Fall from a Metal Tubular Scaffold
June 2013,Fall from a Portable Ladder
June 2013,Fall from a Bamboo Scaffold
June 2013,Collapse of a Worker inside an Underground Drain
May 2013,Fall from Height while Erecting/Dismantlinga Truss-out Bamboo Scaffold
April 2013,Fall from an Elevated Metal Pallet
March 2013,Collapse of Concrete Beam
February 2013,Trapped by the Tailgate of a Truck
January 2013,Fall from the Roof Top of a Lift Machine Room
December 2012,Fall from a Horizontal I-beam
December 2012,Fall through an Opening on a Working Platform
December 2012,Fall from Height while Lifting Metal Sheet Rolls
December 2012,Trapped by the Tailgate of a Truck
December 2012,Fall from a Lorry-mounted Crane
November 2012,Person Struck by Mobile Plant
November 2012,Struck by a Chiller Being Transported
November 2012,Fall through a Fragile Roof
October 2012,Rupture of an Inflatable Pipe Plug
October 2012,Fall through the Void of a Window Frame
October 2012,Fall with Overturned Metal Falsework
October 2012,Use of Electrical Concrete Breaker
October 2012,Working Platform under Suspension at Height
October 2012,Electrical Safety on Construction Sites
September 2012,Cable Placement Work
August 2012,Fall from Height while Erecting/Dismantling a Truss-out Bamboo Scaffold
August 2012,Crushed by a Coach Under Repair
August 2012,Air-conditioning Plant Repair Work on the Roof of a Structure
July 2012,Electrocution while Conducting Plastering Work
July 2012,Fall through an Opening on the Roof of a Temporary Metal Structure
July 2012,Electric Arc Welding Work in Vehicle Repair Workshop
July 2012,Fall from Height while Erecting/Dismantling a Truss-out Bamboo Scaffold
June 2012,Electrical Installation Work for Air-Conditioner
June 2012,Fall from Suspended Working Platform
May 2012,Electrical Lighting Installation Work
May 2012,Collapse of Soil
May 2012,Fall from Bamboo Scaffold
April 2012,Fall through Floor Opening
February 2012,"Storage, Stacking and Handling of Facades"
February 2012,Stuck Lift
January 2012,Use of Portable Ladders
January 2012,Tree Work
